DATE,GASREGCOVM,TRANSIT,TRFVOLUSM227NFWA
2000-01-01,1.279,724934,203442
2000-02-01,1.371,756536,199261
2000-03-01,1.498,843730,232490
2000-04-01,1.437,757458,227698
2000-05-01,1.456,818246,242501
2000-06-01,1.612,793911,242963
2000-07-01,1.529,743746,245140
2000-08-01,1.439,787064,247832
2000-09-01,1.525,802516,227899
2000-10-01,1.508,851255,236491
2000-11-01,1.495,816120,222819
2000-12-01,1.418,755040,218390
2001-01-01,1.427,800293,209685
2001-02-01,1.431,761213,200876
2001-03-01,1.384,846702,232587
2001-04-01,1.517,803744,232513
2001-05-01,1.654,850680,245357
2001-06-01,1.548,807301,243498
2001-07-01,1.340,785014,250363
2001-08-01,1.386,809941,253274
2001-09-01,1.506,768513,226312
2001-10-01,1.274,871470,241050
2001-11-01,1.139,820117,230511
2001-12-01,1.072,756221,229584
2002-01-01,1.094,794010,215215
2002-02-01,1.090,756102,208237
2002-03-01,1.221,820151,236070
2002-04-01,1.362,824757,237226
2002-05-01,1.353,838274,251746
2002-06-01,1.341,772040,247868
2002-07-01,1.364,782849,256392
2002-08-01,1.358,781609,258666
2002-09-01,1.363,805016,233625
2002-10-01,1.427,877109,245556
2002-11-01,1.385,788746,230648
2002-12-01,1.348,754257,234260
2003-01-01,1.424,778679,218534
2003-02-01,1.582,732135,203677
2003-03-01,1.636,820157,236679
2003-04-01,1.517,810703,239415
2003-05-01,1.438,799984,253244
2003-06-01,1.452,754298,252145
2003-07-01,1.480,767411,262105
2003-08-01,1.588,745756,260687
2003-09-01,1.616,807125,237451
2003-10-01,1.513,830771,254048
2003-11-01,1.474,724971,233698
2003-12-01,1.448,758869,238538
2004-01-01,1.555,740829,222450
2004-02-01,1.615,750265,213709
2004-03-01,1.689,843276,251403
2004-04-01,1.756,803337,250968
2004-05-01,1.945,781133,257235
2004-06-01,1.910,784558,257383
2004-07-01,1.863,754430,265969
2004-08-01,1.842,772963,262836
2004-09-01,1.841,814446,243515
2004-10-01,1.954,845387,254496
2004-11-01,1.932,797405,239796
2004-12-01,1.800,767658,245029
2005-01-01,1.811,756467,224072
2005-02-01,1.886,750973,219970
2005-03-01,2.063,842424,253182
2005-04-01,2.211,816425,250860
2005-05-01,2.114,806149,262678
2005-06-01,2.123,795101,263816
2005-07-01,2.247,753939,267025
2005-08-01,2.449,808031,265323
2005-09-01,2.862,858809,242240
2005-10-01,2.689,858662,251419
2005-11-01,2.222,825130,243056
2005-12-01,2.174,760996,245787
2006-01-01,2.300,793138,233282
2006-02-01,2.249,761980,220711
2006-03-01,2.413,874469,256623
2006-04-01,2.719,806944,250644
2006-05-01,2.831,870445,263370
2006-06-01,2.808,827752,263782
2006-07-01,2.923,790273,263421
2006-08-01,2.910,840294,265206
2006-09-01,2.501,850328,245605
2006-10-01,2.214,907084,257939
2006-11-01,2.211,851564,245346
2006-12-01,2.284,804029,248187
2007-01-01,2.191,838203,233621
2007-02-01,2.235,796569,219232
2007-03-01,2.503,934752,259638
2007-04-01,2.787,884098,252595
2007-05-01,3.119,993437,267574
2007-06-01,3.024,876764,265374
2007-07-01,2.947,860196,267106
2007-08-01,2.777,908061,271225
2007-09-01,2.817,903028,245965
2007-10-01,2.791,946754,261423
2007-11-01,3.064,870712,245787
2007-12-01,2.984,808452,240281
2008-01-01,3.018,852130,232920
2008-02-01,3.016,835901,221336
2008-03-01,3.215,889940,252343
2008-04-01,3.421,908295,252088
