DATE,year,month,gas_price,transp_ridership,cars_miles,percentage_variation
2000-01-01,2000,1,1.279,724934,203442,
2000-02-01,2000,2,1.371,756536,199261,0.07193119624706809
2000-03-01,2000,3,1.498,843730,232490,0.0926331145149526
2000-04-01,2000,4,1.437,757458,227698,-0.040720961281708906
2000-05-01,2000,5,1.456,818246,242501,0.013221990257480797
2000-06-01,2000,6,1.612,793911,242963,0.10714285714285723
2000-07-01,2000,7,1.529,743746,245140,-0.051488833746898374
2000-08-01,2000,8,1.439,787064,247832,-0.058862001308044386
2000-09-01,2000,9,1.525,802516,227899,0.05976372480889496
2000-10-01,2000,10,1.508,851255,236491,-0.011147540983606496
2000-11-01,2000,11,1.495,816120,222819,-0.008620689655172348
2000-12-01,2000,12,1.418,755040,218390,-0.05150501672240814
2001-01-01,2001,1,1.427,800293,209685,0.006346967559943667
2001-02-01,2001,2,1.431,761213,200876,0.0028030833917309064
2001-03-01,2001,3,1.384,846702,232587,-0.03284416491963672
2001-04-01,2001,4,1.517,803744,232513,0.09609826589595377
2001-05-01,2001,5,1.654,850680,245357,0.09030982201713911
2001-06-01,2001,6,1.548,807301,243498,-0.0640870616686819
2001-07-01,2001,7,1.34,785014,250363,-0.13436692506459946
2001-08-01,2001,8,1.386,809941,253274,0.034328358208955086
2001-09-01,2001,9,1.506,768513,226312,0.08658008658008666
2001-10-01,2001,10,1.274,871470,241050,-0.15405046480743692
2001-11-01,2001,11,1.139,820117,230511,-0.10596546310832025
2001-12-01,2001,12,1.072,756221,229584,-0.05882352941176466
2002-01-01,2002,1,1.094,794010,215215,0.02052238805970151
2002-02-01,2002,2,1.09,756102,208237,-0.003656307129798906
2002-03-01,2002,3,1.221,820151,236070,0.1201834862385321
2002-04-01,2002,4,1.362,824757,237226,0.11547911547911548
2002-05-01,2002,5,1.353,838274,251746,-0.006607929515418589
2002-06-01,2002,6,1.341,772040,247868,-0.008869179600886927
2002-07-01,2002,7,1.364,782849,256392,0.017151379567487048
2002-08-01,2002,8,1.358,781609,258666,-0.004398826979472145
2002-09-01,2002,9,1.363,805016,233625,0.0036818851251840157
2002-10-01,2002,10,1.427,877109,245556,0.04695524578136468
2002-11-01,2002,11,1.385,788746,230648,-0.02943237561317452
2002-12-01,2002,12,1.348,754257,234260,-0.026714801444043264
2003-01-01,2003,1,1.424,778679,218534,0.05637982195845685
2003-02-01,2003,2,1.582,732135,203677,0.11095505617977539
2003-03-01,2003,3,1.636,820157,236679,0.034134007585334906
2003-04-01,2003,4,1.517,810703,239415,-0.07273838630806846
2003-05-01,2003,5,1.438,799984,253244,-0.05207646671061303
2003-06-01,2003,6,1.452,754298,252145,0.009735744089012526
2003-07-01,2003,7,1.48,767411,262105,0.019283746556473847
2003-08-01,2003,8,1.588,745756,260687,0.07297297297297303
2003-09-01,2003,9,1.616,807125,237451,0.01763224181360203
2003-10-01,2003,10,1.513,830771,254048,-0.06373762376237636
2003-11-01,2003,11,1.474,724971,233698,-0.02577660277594179
2003-12-01,2003,12,1.448,758869,238538,-0.017639077340569895
2004-01-01,2004,1,1.555,740829,222450,0.07389502762430938
2004-02-01,2004,2,1.615,750265,213709,0.03858520900321547
2004-03-01,2004,3,1.689,843276,251403,0.04582043343653255
2004-04-01,2004,4,1.756,803337,250968,0.039668442865600916
2004-05-01,2004,5,1.945,781133,257235,0.10763097949886108
2004-06-01,2004,6,1.91,784558,257383,-0.017994858611825267
2004-07-01,2004,7,1.863,754430,265969,-0.024607329842931902
2004-08-01,2004,8,1.842,772963,262836,-0.011272141706924267
2004-09-01,2004,9,1.841,814446,243515,-0.0005428881650380629
2004-10-01,2004,10,1.954,845387,254496,0.061379684953829436
2004-11-01,2004,11,1.932,797405,239796,-0.011258955987717513
2004-12-01,2004,12,1.8,767658,245029,-0.06832298136645958
2005-01-01,2005,1,1.811,756467,224072,0.006111111111111055
2005-02-01,2005,2,1.886,750973,219970,0.041413583655438964
2005-03-01,2005,3,2.063,842424,253182,0.09384941675503726
2005-04-01,2005,4,2.211,816425,250860,0.07174018419777008
2005-05-01,2005,5,2.114,806149,262678,-0.043871551334237896
2005-06-01,2005,6,2.123,795101,263816,0.00425733207190177
2005-07-01,2005,7,2.247,753939,267025,0.05840791333019296
2005-08-01,2005,8,2.449,808031,265323,0.08989764129951044
2005-09-01,2005,9,2.862,858809,242240,0.1686402613311557
2005-10-01,2005,10,2.689,858662,251419,-0.060447239692522726
2005-11-01,2005,11,2.222,825130,243056,-0.17367050948307924
2005-12-01,2005,12,2.174,760996,245787,-0.021602160216021623
2006-01-01,2006,1,2.3,793138,233282,0.057957681692732244
2006-02-01,2006,2,2.249,761980,220711,-0.022173913043478138
2006-03-01,2006,3,2.413,874469,256623,0.07292129835482423
2006-04-01,2006,4,2.719,806944,250644,0.12681309573145466
2006-05-01,2006,5,2.831,870445,263370,0.041191614564178046
2006-06-01,2006,6,2.808,827752,263782,-0.008124337689862286
2006-07-01,2006,7,2.923,790273,263421,0.04095441595441603
2006-08-01,2006,8,2.91,840294,265206,-0.004447485460143654
2006-09-01,2006,9,2.501,850328,245605,-0.14054982817869424
2006-10-01,2006,10,2.214,907084,257939,-0.11475409836065571
2006-11-01,2006,11,2.211,851564,245346,-0.0013550135501355527
2006-12-01,2006,12,2.284,804029,248187,0.033016734509271804
2007-01-01,2007,1,2.191,838203,233621,-0.04071803852889666
2007-02-01,2007,2,2.235,796569,219232,0.0200821542674578
2007-03-01,2007,3,2.503,934752,259638,0.11991051454138714
2007-04-01,2007,4,2.787,884098,252595,0.1134638433879344
2007-05-01,2007,5,3.119,993437,267574,0.11912450663796208
2007-06-01,2007,6,3.024,876764,265374,-0.03045848028214177
2007-07-01,2007,7,2.947,860196,267106,-0.025462962962962948
2007-08-01,2007,8,2.777,908061,271225,-0.05768578215134032
2007-09-01,2007,9,2.817,903028,245965,0.01440403312927621
2007-10-01,2007,10,2.791,946754,261423,-0.009229676961306442
2007-11-01,2007,11,3.064,870712,245787,0.09781440343962743
2007-12-01,2007,12,2.984,808452,240281,-0.026109660574412556
2008-01-01,2008,1,3.018,852130,232920,0.01139410187667554
2008-02-01,2008,2,3.016,835901,221336,-0.0006626905235254406
2008-03-01,2008,3,3.215,889940,252343,0.06598143236074265
2008-04-01,2008,4,3.421,908295,252088,0.06407465007776049
2008-05-01,2008,5,3.735,912568,261466,0.09178602747734582
2008-06-01,2008,6,3.989,884081,257484,0.0680053547523427
2008-07-01,2008,7,4.002,910651,261600,0.0032589621459012037
2008-08-01,2008,8,3.74,890570,260609,-0.06546726636681649
2008-09-01,2008,9,3.709,929094,239607,-0.008288770053475973
2008-10-01,2008,10,3.01,971677,255848,-0.18846050148287954
2008-11-01,2008,11,2.099,839026,236465,-0.30265780730896996
2008-12-01,2008,12,1.669,835899,241742,-0.20485945688423066
2009-01-01,2009,1,1.772,827360,225529,0.06171360095865787
2009-02-01,2009,2,1.892,806287,217643,0.06772009029345366
2009-03-01,2009,3,1.937,897860,249741,0.0237843551797041
2009-04-01,2009,4,2.021,874039,251374,0.04336602994321107
2009-05-01,2009,5,2.24,856958,258276,0.10836219693221193
2009-06-01,2009,6,2.597,848878,258395,0.15937499999999988
2009-07-01,2009,7,2.478,843229,264472,-0.04582210242587592
